muobs	zHD	zhel	mu-M	mu-M_err
39.4349	0.16503	0.165737	20.0849	0.11585
39.444050000000004	0.16514	0.165355	20.09405	0.10665
39.2845	0.16576	0.167068	19.9345	0.12155
39.4023	0.16799	0.169222	20.0523	0.1219
39.6054	0.1694	0.168047	20.2554	0.1144
39.81515	0.16941	0.170713	20.46515	0.1317
39.5989	0.17008	0.171468	20.2489	0.107
39.47375	0.17043	0.171802	20.12375	0.14255
39.637299999999996	0.17144	0.170029	20.2873	0.17315
39.57	0.17157	0.172509	20.22	0.11585
39.84025	0.17281	0.172083	20.49025	0.1308
39.50345	0.17331	0.174222	20.15345	0.09925
39.831199999999995	0.17354	0.174808	20.4812	0.1283
39.43825	0.17359	0.172991	20.08825	0.1083
39.678399999999996	0.17365	0.174844	20.3284	0.1373
39.632149999999996	0.17371	0.174692	20.28215	0.12665
39.6961	0.1742	0.174889	20.3461	0.1115
39.5869	0.17424	0.175164	20.2369	0.11045
39.855599999999995	0.17461	0.17605	20.5056	0.1317
39.59765	0.17537	0.176784	20.24765	0.1249
39.635450000000006	0.17675	0.178176	20.28545	0.129
39.5897	0.17685	0.177014	20.2397	0.106
39.826750000000004	0.17708	0.176891	20.47675	0.1273
39.68625	0.17746	0.177857	20.33625	0.12905
39.421800000000005	0.17748	0.178821	20.0718	0.12115
39.705200000000005	0.1777	0.177015	20.3552	0.11035
39.55345	0.17772	0.178836	20.20345	0.1224
40.07835	0.17818	0.179577	20.72835	0.1286
39.725350000000006	0.17831	0.17963	20.37535	0.1134
39.7525	0.1787	0.180013	20.4025	0.1152
39.6309	0.17893	0.180378	20.2809	0.1225
39.89675	0.1792	0.180427	20.54675	0.14915
39.831	0.17967	0.179996	20.481	0.1699
39.65175	0.17972	0.180326	20.30175	0.11325
40.03245	0.18004	0.18062	20.68245	0.14335
39.48755	0.18046	0.180963	20.13755	0.10565
39.6252	0.18058	0.181993	20.2752	0.1117
39.7364	0.1806	0.180032	20.3864	0.1142
39.69675	0.18071	0.179996	20.34675	0.16425
39.561449999999994	0.18122	0.181809	20.21145	0.10535
39.775999999999996	0.18141	0.180032	20.426	0.1593
39.824	0.18152	0.181617	20.474	0.12575
39.72965	0.18212	0.181274	20.37965	0.13765
39.685900000000004	0.18223	0.182721	20.3359	0.12625
39.93185	0.18261	0.183816	20.58185	0.1376
39.8574	0.18353	0.184972	20.5074	0.1247
39.6451	0.18356	0.183882	20.2951	0.1284
39.902649999999994	0.18365	0.185096	20.55265	0.14145
39.7147	0.18446	0.185889	20.3647	0.13065
39.90175	0.1846	0.185289	20.55175	0.1118
39.73765	0.1846	0.185954	20.38765	0.1082
39.72525	0.18478	0.186226	20.37525	0.1056
39.66575	0.18484	0.186292	20.31575	0.1235
39.8058	0.18538	0.183995	20.4558	0.10405
39.68785	0.18542	0.186785	20.33785	0.1283
39.887100000000004	0.18542	0.184034	20.5371	0.1169
39.83365	0.18562	0.186811	20.48365	0.1298
39.875150000000005	0.18628	0.187733	20.52515	0.11385
39.5539	0.18905	0.189638	20.2039	0.1187
39.8364	0.1891	0.190429	20.4864	0.13035
40.23525	0.18914	0.190054	20.88525	0.12885
39.85025	0.18959	0.189985	20.50025	0.1605
39.81505	0.18988	0.190754	20.46505	0.1185
39.7561	0.19005	0.19133	20.4061	0.1552
39.998599999999996	0.19024	0.191177	20.6486	0.11825
40.0428	0.1907	0.191003	20.6928	0.11925
39.405	0.19141	0.190029	20.055	0.15515
39.8815	0.1919	0.192798	20.5315	0.1404
39.945800000000006	0.19358	0.194824	20.5958	0.1361
39.967150000000004	0.1957	0.194793	20.61715	0.12925
39.8786	0.19582	0.19676	20.5286	0.1151
39.898250000000004	0.1959	0.197182	20.54825	0.11935
39.85135	0.19602	0.195295	20.50135	0.109
40.05795	0.1963	0.197759	20.70795	0.1369
40.087900000000005	0.1965	0.197785	20.7379	0.13845
39.931799999999996	0.19694	0.198388	20.5818	0.1167
39.7852	0.19731	0.198237	20.4352	0.1122
39.84105	0.19777	0.199199	20.49105	0.129
39.990700000000004	0.1984	0.199767	20.6407	0.1317
39.96015	0.19845	0.199782	20.61015	0.13895
39.994200000000006	0.1986	0.197999	20.6442	0.1223
39.7468	0.1994	0.198999	20.3968	0.14145
39.961749999999995	0.19958	0.199974	20.61175	0.15295
40.01375	0.1998	0.200995	20.66375	0.13595
40.07485	0.20072	0.200029	20.72485	0.1607
39.877399999999994	0.20073	0.199988	20.5274	0.21145
39.73595	0.20192	0.203311	20.38595	0.11475
39.952650000000006	0.20244	0.203825	20.60265	0.13765
40.0849	0.20284	0.204254	20.7349	0.1164
39.99165	0.20291	0.204218	20.64165	0.1209
40.0501	0.20299	0.204386	20.7001	0.1382
39.9234	0.20311	0.204559	20.5734	0.12555
39.99385	0.20314	0.203865	20.64385	0.12035
40.0009	0.20324	0.204563	20.6509	0.11955
40.01435	0.20431	0.205641	20.66435	0.12435
40.284	0.20493	0.20619	20.934	0.1568
40.08155	0.20532	0.20676	20.73155	0.1351
39.915800000000004	0.20562	0.20629	20.5658	0.12095
39.9039	0.20584	0.205729	20.5539	0.15765
40.38995	0.2071	0.208558	21.03995	0.18575
40.00465	0.20824	0.209554	20.65465	0.12075
40.051950000000005	0.20827	0.209744	20.70195	0.1319
39.942949999999996	0.20861	0.207972	20.59295	0.11275
40.209	0.2088	0.209992	20.859	0.16115
40.25475	0.20982	0.211166	20.90475	0.1584
39.9902	0.21028	0.211747	20.6402	0.1335
39.92655	0.21037	0.211378	20.57655	0.1203
40.363600000000005	0.21053	0.211784	21.0136	0.15075
40.08865	0.21073	0.210015	20.73865	0.1623
39.99495	0.21075	0.210999	20.64495	0.10525
40.077	0.21075	0.212127	20.727	0.12695
40.2708	0.21079	0.211005	20.9208	0.1231
39.9747	0.21139	0.21276	20.6247	0.1276
40.49485	0.21154	0.212956	21.14485	0.1818
40.03915	0.21198	0.212477	20.68915	0.12295
40.15065	0.21231	0.212868	20.80065	0.1303
40.02635	0.21311	0.213867	20.67635	0.1429
40.08185	0.21313	0.214557	20.73185	0.12325
40.132949999999994	0.21327	0.214726	20.78295	0.1364
40.1717	0.21432	0.215748	20.8217	0.1308
40.08405	0.21434	0.214903	20.73405	0.17345
40.55185	0.2149	0.216177	21.20185	0.1483
39.945750000000004	0.21641	0.216994	20.59575	0.11555
40.1623	0.21651	0.217778	20.8123	0.13625
40.1309	0.21731	0.218747	20.7809	0.13945
40.24395	0.21735	0.218249	20.89395	0.15665
40.2818	0.21791	0.218886	20.9318	0.14225
40.11195	0.2184	0.219759	20.76195	0.1415
40.326	0.2186	0.220014	20.976	0.1685
40.22005	0.21861	0.22003	20.87005	0.13435
40.2354	0.21911	0.220445	20.8854	0.1261
40.0219	0.21929	0.220738	20.6719	0.1534
40.1969	0.21946	0.219002	20.8469	0.1023
40.35055	0.2195	0.220905	21.00055	0.1346
40.18145	0.21986	0.218437	20.83145	0.10825
40.16795	0.22043	0.221843	20.81795	0.15445
40.1353	0.22146	0.220039	20.7853	0.1197
40.17175	0.22146	0.220043	20.82175	0.14915
40.2856	0.2223	0.223738	20.9356	0.1392
40.4304	0.22259	0.224082	21.0804	0.1546
40.28075	0.22308	0.224497	20.93075	0.1281
40.10105	0.22374	0.223004	20.75105	0.12225
40.51495	0.22425	0.22573	21.16495	0.15345
40.018100000000004	0.22448	0.225002	20.6681	0.15385
40.211	0.2251	0.226402	20.861	0.12955
40.2129	0.22556	0.224142	20.8629	0.1228
40.07299999999999	0.22562	0.224985	20.723	0.12425
40.2271	0.22644	0.227762	20.8771	0.141
40.18435	0.22796	0.228791	20.83435	0.15045
40.31525	0.22853	0.229998	20.96525	0.12895
40.344449999999995	0.22889	0.230357	20.99445	0.14355
40.2294	0.22939	0.230867	20.8794	0.1271
40.30825	0.22943	0.230007	20.95825	0.1411
40.3638	0.23027	0.230879	21.0138	0.14645
40.09845	0.23071	0.230646	20.74845	0.15255
40.38315	0.23086	0.230024	21.03315	0.15375
40.27185	0.23152	0.233024	20.92185	0.1499
40.27065	0.23353	0.234963	20.92065	0.1527
40.23475	0.23359	0.234773	20.88475	0.1537
40.56045	0.23362	0.232982	21.21045	0.1599
40.2144	0.23466	0.235172	20.8644	0.19515
40.3429	0.23517	0.236507	20.9929	0.1458
40.5047	0.23603	0.237419	21.1547	0.12315
40.22655	0.23643	0.237838	20.87655	0.14325
40.36435	0.23657	0.237956	21.01435	0.146
40.3724	0.2368	0.238025	21.0224	0.1241
40.3647	0.23753	0.2387	21.0147	0.1316
40.5981	0.23823	0.237264	21.2481	0.14335
40.54555	0.23851	0.240021	21.19555	0.2471
40.06895	0.23943	0.23998	20.71895	0.1478
40.4434	0.24001	0.239963	21.0934	0.1643
40.48115	0.24074	0.240016	21.13115	0.11795
40.44055	0.24111	0.241048	21.09055	0.1118
40.20675	0.24146	0.241982	20.85675	0.13015
40.330749999999995	0.24162	0.242779	20.98075	0.15175
40.6952	0.24177	0.243249	21.3452	0.1569
40.534549999999996	0.24237	0.243891	21.18455	0.15195
40.690799999999996	0.24275	0.242026	21.3408	0.1213
40.37795	0.24288	0.244263	21.02795	0.1175
40.59885	0.24317	0.244376	21.24885	0.15475
40.310249999999996	0.2441	0.245419	20.96025	0.1449
40.21815	0.24488	0.24498	20.86815	0.1298
40.40305	0.24494	0.244258	21.05305	0.1237
40.6089	0.2451	0.246591	21.2589	0.1441
40.7252	0.24526	0.246586	21.3752	0.1882
40.0698	0.24527	0.246714	20.7198	0.14705
40.465900000000005	0.2453	0.246722	21.1159	0.14105
40.477999999999994	0.24575	0.247197	21.128	0.1225
40.23445	0.24583	0.245879	20.88445	0.13085
40.4966	0.24599	0.244544	21.1466	0.1219
40.372299999999996	0.24615	0.247536	21.0223	0.14645
40.5069	0.24616	0.247215	21.1569	0.13055
40.510549999999995	0.24649	0.245995	21.16055	0.10805
40.33175	0.24805	0.249544	20.98175	0.13435
40.4761	0.24828	0.249718	21.1261	0.1388
40.44655	0.24832	0.249347	21.09655	0.1326
40.54025	0.24849	0.250024	21.19025	0.14705
40.552800000000005	0.24862	0.24967	21.2028	0.13995
40.4827	0.2488	0.249999	21.1327	0.1596
40.37715	0.249	0.250015	21.02715	0.11585
40.73165	0.24931	0.250801	21.38165	0.1409
40.4269	0.24943	0.250908	21.0769	0.14445
40.5176	0.24954	0.250516	21.1676	0.1247
40.55115	0.24999	0.251473	21.20115	0.13305
40.7268	0.25001	0.249964	21.3768	0.1625
40.6482	0.2501	0.251435	21.2982	0.13225
40.463499999999996	0.25012	0.250037	21.1135	0.14315
40.526300000000006	0.2505	0.250002	21.1763	0.1114
40.3768	0.25051	0.24998	21.0268	0.13165
40.7564	0.25085	0.25181	21.4064	0.1659
40.559	0.25149	0.252746	21.209	0.1266
40.5838	0.25163	0.253014	21.2338	0.1462
40.5178	0.25218	0.253698	21.1678	0.16095
40.557550000000006	0.25249	0.254022	21.20755	0.11325
40.44145	0.2534	0.254211	21.09145	0.11245
40.6844	0.25577	0.257302	21.3344	0.1818
40.6064	0.25626	0.257704	21.2564	0.16145
